map,algo,cost,nodes,time
small,bfs,6,15,0.0001544952392578125
small,ucs,6,38,0.0002613067626953125
small,astar,6,15,0.00020694732666015625
small,simulated_annealing_replan,6,15,0.00020313262939453125
medium,bfs,10,34,0.0003674030303955078
medium,ucs,10,102,0.0008366107940673828
medium,astar,10,34,0.0005202293395996094
medium,simulated_annealing_replan,10,34,0.0005018711090087891
large,bfs,38,400,0.0033462047576904297
large,ucs,38,1518,0.01381683349609375
large,astar,38,400,0.007184505462646484
large,simulated_annealing_replan,38,400,0.012853622436523438
dynamic,bfs,8,25,0.000270843505859375
dynamic,ucs,8,78,0.0005784034729003906
dynamic,astar,8,25,0.0004456043243408203
dynamic,simulated_annealing_replan,8,25,0.00047850608825683594
